AccessibilityLocation,Street,City,PostalCode,Country,AuthenticationModes,ChargingFacilities,ChargingStationNames,DynamicInfoAvailable,HotlinePhoneNumber,HubOperatorID,IsHubjectCompatible,IsOpen24Hours,PaymentOptions,Plugs,RenewableEnergy,Accessibility,ChargingStationId,GeoCoordinates,lastUpdate,EvseID
OnStreet,Grundstrasse 1,Lostorf,4654,CHE,"NFC RFID Classic, REMOTE","20 DC, 20 DC",Suissetec Lostorf,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,"CCS Combo 2 Plug (Cable Attached), CHAdeMO",False,Free publicly accessible,CH*SWI*E10382,47.37545935 7.94404536,2024-10-04T02:15:03.893Z,CH*SWI*E10382
OnStreet,Grundstrasse 1,Lostorf,4654,CHE,"NFC RFID Classic, REMOTE",22 AC_3_PHASE,Suissetec Lostorf,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E10382,47.37545935 7.94404536,2024-10-04T02:15:03.893Z,CH*SWI*E10383
OnStreet,Brühlstrasse 15,Grenchen,2540,CHE,"NFC RFID Classic, REMOTE",22 AC_3_PHASE,SWG Aussenparkplatz Nord,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E10662,47.188216 7.401496,2024-10-04T02:15:03.893Z,CH*SWI*E10662
OnStreet,Zürichstrasse 2,Uster,0,CHE,"NFC RFID Classic, REMOTE",22 AC_3_PHASE,Kern Süd Parkhaus,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E10760,47.348979 8.717593,2024-10-04T02:15:03.894Z,CH*SWI*E10760
OnStreet,Zürichstrasse 2,Uster,0,CHE,"NFC RFID Classic, REMOTE",22 AC_3_PHASE,Kern Süd Parkhaus,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E10760,47.348979 8.717593,2024-10-04T02:15:03.894Z,CH*SWI*E10761
OnStreet,Brühlstrasse 15,Grenchen,2540,CHE,"NFC RFID Classic, REMOTE",22 AC_3_PHASE,SWG Aussenparkplatz Nord,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E10662,47.188216 7.401496,2024-10-04T02:15:03.893Z,CH*SWI*E10663
OnStreet,Zürichstrasse 2,Uster,0,CHE,"NFC RFID Classic, REMOTE",22 AC_3_PHASE,Kern Süd Parkhaus,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E10760,47.348979 8.717593,2024-10-04T02:15:03.894Z,CH*SWI*E233495
OnStreet,Forchstrasse 4,Esslingen,0,CHE,"NFC RFID Classic, REMOTE",22 AC_3_PHASE,Ladestation 1 (Rechts),true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E108334,47.28752013 8.71095613,2024-10-04T02:15:03.894Z,CH*SWI*E108334
OnStreet,Zürichstrasse 2,Uster,0,CHE,"NFC RFID Classic, REMOTE",22 AC_3_PHASE,Kern Süd Parkhaus,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E10760,47.348979 8.717593,2024-10-04T02:15:03.894Z,CH*SWI*E233496
OnStreet,Zürcherstrasse 11,Luzern,0,CHE,"NFC RFID Classic, REMOTE",11 AC_3_PHASE,Parkhaus Löwencenter,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E11042,47.05663687 8.31016189,2024-10-04T02:15:03.894Z,CH*SWI*E11043
