"hour","max","CI_high","median","mean","CI_low","min"
1,0.0809076323630529,0.0672564330962575,0.0655891564674203,0.0662666300931051,0.0652768270899528,0.0552962298025135
2,0.0794269340974212,0.0659951288845519,0.0644504823142616,0.0650035730821332,0.0640120172797145,0.054693804357572
3,0.0788262370540852,0.0654391306553036,0.0640085866781048,0.064417218545682,0.0633953064360605,0.0533154121863799
4,0.0790927930002303,0.0649723032299101,0.0622071227741331,0.0639404811744522,0.0629086591189942,0.0529237933196024
5,0.0794732586346309,0.0653753012170764,0.0631096019549395,0.0643069143649313,0.0632385275127863,0.053368015068616
6,0.0855819339895773,0.0698875338838054,0.0691065391211674,0.0687910535319949,0.0676945731801844,0.0547357123691977
7,0.110473786853275,0.0858441680555051,0.0836078059636783,0.0844283882686805,0.0830126084818558,0.0655604653259987
8,0.150022747952684,0.115046099348285,0.112375164246885,0.11295165360891,0.110857207869535,0.0867740471869329
9,0.173932736949383,0.139523739182887,0.136198701388344,0.137362896295034,0.135202053407181,0.104318817058877
10,0.179141660061148,0.149504862141618,0.145423092903548,0.14722781655291,0.144950770964202,0.118738738738739
11,0.179782981153627,0.150283852963269,0.145441971388057,0.148145274985791,0.146006697008313,0.12408630559225
12,0.183011214507278,0.149050479735271,0.14307287636698,0.146650696625659,0.144250913516047,0.122278056951424
13,0.18210157163268,0.146088107691322,0.141721579369907,0.143845622098932,0.141603136506543,0.121364452423698
14,0.177435554067626,0.143131678103516,0.138469374947367,0.140905563352835,0.138679448602154,0.120226435438943
15,0.168565683646113,0.138810699941896,0.135324734102738,0.136818416026859,0.134826132111821,0.117530395792015
16,0.15922107674685,0.131372888517751,0.128315854410857,0.129484807086099,0.127596725654446,0.110153846153846
17,0.148879223820676,0.122760139687342,0.118856353113933,0.120861524838416,0.11896290998949,0.100563082878761
18,0.13919796012981,0.117310252370728,0.115913103554157,0.115733023486974,0.114155794603219,0.0993383404864092
19,0.137875,0.114624340353358,0.111036564911104,0.113195109862837,0.111765879372317,0.097074349109779
20,0.129021522076769,0.10899102904943,0.106588109266202,0.107692996363454,0.106394963677478,0.0923747276688453
21,0.115789473684211,0.0990811072444406,0.0972808040922552,0.0977592197448298,0.096437332245219,0.0823058980339887
22,0.109339132535943,0.0887819086625335,0.0868631325715268,0.0875010122819782,0.086220115901423,0.0714541547277937
23,0.0970132743362832,0.0797701680193291,0.0780873753009976,0.0786176143989282,0.0774650607785273,0.0649101378467981
24,0.083295142071494,0.069074931285622,0.0667612376983775,0.0681441560486248,0.0672133808116275,0.0580164992826399
