"hour","max","CI_high","median","mean","CI_low","min"
1,0.0861132660977502,0.0721356304849776,0.0692745131828365,0.070993354836282,0.0698510791875864,0.0587813620071685
2,0.0837927232635061,0.0703071980540788,0.0672258979206049,0.0692035235123164,0.068099848970554,0.0583100558659218
3,0.0821738796218003,0.0694922201065603,0.0667533081285444,0.0683594017894323,0.0672265834723042,0.0568558951965066
4,0.0830731876517516,0.0688035145140991,0.0664198102291136,0.0676652624933068,0.0665270104725145,0.0559862187769165
5,0.0836301117524254,0.0686995823492887,0.0666975451597962,0.0675239157954678,0.066348249241647,0.0554742010509088
6,0.082702174444173,0.0697696141510507,0.0684332619557459,0.068578887367558,0.0673881605840652,0.0557040613951884
7,0.087725341600643,0.0722563337390314,0.0710401996612889,0.0710402872187799,0.0698242406985285,0.0573742246726396
8,0.106681896059395,0.0820736493742729,0.0813143046797212,0.0804682275882629,0.078862805802253,0.0593800684808074
9,0.131749460043197,0.0992365187584241,0.0956756423002667,0.0971124382989825,0.094988357839541,0.0646672070611546
10,0.154655504016291,0.118579194254302,0.113716502115656,0.116113050178204,0.113646906102106,0.0848555745523261
11,0.166854693140794,0.132009185907797,0.128032501450958,0.129544776514888,0.127080367121979,0.0991735537190083
12,0.17061077304485,0.138394296436441,0.133781590540227,0.135773983861527,0.133153671286614,0.111280624607377
13,0.174181940852356,0.138956141462723,0.134348371720713,0.136509719757518,0.134063298052313,0.114278173660596
14,0.177885727504048,0.139344101703907,0.132805290679791,0.136492389802389,0.133640677900871,0.1134401972873
15,0.179219905850706,0.136697240094771,0.128831455362068,0.133631192766618,0.130565145438464,0.108155716047208
16,0.174202127659574,0.130255793081744,0.125095230839555,0.12748778723811,0.124719781394476,0.104636812411848
17,0.164259321464562,0.119689888107187,0.115929729270984,0.117437089367021,0.115184290626854,0.096674605274764
18,0.138449543328135,0.110916108694186,0.10860342779569,0.109175989395047,0.107435870095907,0.0931799802318268
19,0.130375581527289,0.108251619332541,0.106136692484467,0.106734176182357,0.105216733032173,0.092314606741573
20,0.126093122193335,0.103620857775423,0.101627366323481,0.10213539111763,0.100649924459836,0.0848861283643892
21,0.116103202846975,0.0955700173816368,0.0941569282136895,0.0941331196593619,0.092696221937087,0.0782493368700265
22,0.103590085584084,0.0857923526100204,0.0833893745796907,0.0844557082597229,0.0831190639094254,0.0695721357850071
23,0.0952603861907548,0.0773928932125182,0.0746568463341145,0.0761450203197681,0.074897147427018,0.0645332390381895
24,0.0896073903002309,0.0747694746801858,0.0728335991493886,0.0736510011368445,0.0725325275935031,0.0621997029789464
