"hour","max","CI_high","median","mean","CI_low","min"
1,0.101176470588235,0.0649630399157808,0.0636704119850187,0.0643227078340403,0.0636823757522998,0.0448712275422604
2,0.100840336134454,0.0635422304008294,0.0620746115923277,0.0629103021792299,0.0622783739576304,0.0435938330675173
3,0.100504201680672,0.0629833766641553,0.0618403421679462,0.0623432644305467,0.0617031521969381,0.0426267281105991
4,0.101444407121263,0.0621469489659177,0.0616230965214934,0.0615131107222967,0.0608792724786758,0.0396620511616991
5,0.102452133019819,0.062535839365838,0.0619243147264455,0.0618951271702122,0.0612544149745864,0.042304628728206
6,0.112529392005375,0.0659330561680707,0.0655701754385965,0.0652673640435651,0.0646016719190595,0.0443099919921701
7,0.132683909976486,0.0780995390259733,0.0768097095795405,0.0772446059616779,0.0763896728973825,0.0540179763282015
8,0.176016123614377,0.100655741707281,0.101602503188571,0.0992000094248401,0.0977442771423987,0.0564043346953278
9,0.191803829358415,0.120862925550714,0.123598796330142,0.118976110013744,0.117089294476774,0.0609885260370697
10,0.212436974789916,0.132194457840091,0.132368148914168,0.130257398424874,0.128320339009658,0.0661347517730496
11,0.21344537815126,0.134886143024132,0.133316008316008,0.133172049597204,0.131457956170276,0.0727076397012508
12,0.258487394957983,0.134639848534024,0.131184454140286,0.133021882024936,0.131403915515848,0.0770820231785105
13,0.233613445378151,0.130977036297151,0.127248245050062,0.12959143505773,0.12820583381831,0.0790797987059669
14,0.217142857142857,0.129474299716596,0.126752966558792,0.128150617374049,0.126826935031502,0.0768331084120558
15,0.21344537815126,0.127431691057627,0.12513976090135,0.126144237684725,0.124856784311823,0.0766669666156753
16,0.207731092436975,0.121298469722317,0.119421026270373,0.120093281021081,0.118888092319844,0.0722707227072271
17,0.180504201680672,0.112779188586809,0.110150858748157,0.111658377188301,0.110537565789793,0.0676089305005401
18,0.169075630252101,0.10704046641162,0.10350008838607,0.105962433363681,0.104884400315742,0.0658143513099847
19,0.158991596638655,0.102854641215558,0.100216846634027,0.10190901983321,0.100963398450862,0.0645625393399874
20,0.149915966386555,0.0961083895771025,0.0952112919590717,0.0952535102397621,0.0943986309024217,0.0625056210090836
21,0.139495798319328,0.0858792735547534,0.0847834255839568,0.0850871143119578,0.0842949550691622,0.0567357054345902
22,0.122016806722689,0.0757287601673857,0.0745031842246605,0.0750276582100725,0.0743265562527593,0.0523415977961433
23,0.109243697478992,0.0690547587613722,0.0681295345956468,0.0684311625763774,0.0678075663913827,0.0485754733675456
24,0.102521008403361,0.0665419984591838,0.0650442477876106,0.065909519993215,0.0652770415272463,0.0461824294435106
