"hour","max","CI_high","median","mean","CI_low","min"
1,0.110985857757737,0.079282723262979,0.0776288923663625,0.0772966238730162,0.0753105244830535,0.0504377238360525
2,0.110985857757737,0.0779877975566864,0.0759432707733793,0.0759686129231339,0.0739494282895814,0.0504377238360525
3,0.110985857757737,0.0772495535693167,0.0748325506197552,0.0751908210659995,0.0731320885626823,0.0504377238360525
4,0.110985857757737,0.0769586360416437,0.0738341968911917,0.0747861116134922,0.0726135871853408,0.0504377238360525
5,0.110985857757737,0.0771524711882851,0.0739304050199658,0.0749652854217497,0.0727780996552144,0.0504377238360525
6,0.110985857757737,0.0781629244544338,0.0754161827332559,0.0759479275152692,0.0737329305761045,0.0504377238360525
7,0.110985857757737,0.0804745008277403,0.0785985582512983,0.0782758311049484,0.0760771613821565,0.0504377238360525
8,0.114442995798928,0.089390291352215,0.0869924578985432,0.0871735040436346,0.0849567167350541,0.0504377238360525
9,0.141655297862665,0.106932142158583,0.106892977455299,0.104271367097244,0.101610592035905,0.0504377238360525
10,0.164341612793467,0.124434958633234,0.127378677203752,0.121013725088773,0.117592491544313,0.0504377238360525
11,0.177886252696106,0.136179124554045,0.140686768467561,0.132104248631184,0.128029372708323,0.0504377238360525
12,0.18533724340176,0.140740016667542,0.146474483833268,0.136355341463779,0.131970666260015,0.0504377238360525
13,0.177472465084592,0.140811616572758,0.147572815533981,0.136304856471917,0.131798096371075,0.0504377238360525
14,0.173257790368272,0.138164548668522,0.144912508101102,0.133830855630165,0.129497162591807,0.0504377238360525
15,0.173543414191793,0.135939862416314,0.139920954106721,0.131815994939852,0.127692127463391,0.0504377238360525
16,0.157665995975855,0.129620793109306,0.134574257425743,0.126052847731158,0.122484902353011,0.0504377238360525
17,0.149489216799092,0.12020345677505,0.123429179978701,0.117203504002455,0.11420355122986,0.0504377238360525
18,0.146786843029381,0.113759468657987,0.114553999968045,0.111074185520741,0.108388902383496,0.0504377238360525
19,0.133477946493131,0.110622060451871,0.111361550224668,0.10803936758095,0.10545667471003,0.0504377238360525
20,0.131974559121133,0.105638229808604,0.105738274551617,0.103231523828638,0.100824817848672,0.0504377238360525
21,0.127893518518519,0.0985198372498702,0.0985480562992964,0.0963495661282953,0.0941792950067204,0.0504377238360525
22,0.115629522431259,0.0900199986639181,0.088171709264718,0.0880516972532173,0.0860833958425165,0.0504377238360525
23,0.110985857757737,0.0824155620812737,0.0797664970589191,0.0804743836151472,0.0785332051490207,0.0504377238360525
24,0.110985857757737,0.0815617030442752,0.0795175995120429,0.079641221032283,0.0777207390202907,0.0504377238360525
