"hour","max","CI_high","median","mean","CI_low","min"
1,0.124431362055124,0.0654025016444944,0.0644708132918283,0.0647726807671556,0.0641428598898169,0.0461502511975698
2,0.101769911504425,0.0643775148547494,0.063102760226139,0.0637389652683627,0.063100415681976,0.0458050946482823
3,0.100981996726678,0.063410366405643,0.0616924788226234,0.0627685091196115,0.06212665183358,0.0454120943264067
4,0.0988362563514178,0.062726105381797,0.0608658567498156,0.0620774703252497,0.0614288352687024,0.0438882029408463
5,0.0993615976428221,0.0631400110990282,0.0611146986732333,0.0625077996992361,0.061875588299444,0.0450250787355651
6,0.105866928875778,0.0677851789018497,0.0663105734069563,0.0671303206168552,0.0664754623318607,0.047941210778024
7,0.130812049770792,0.0827636403815787,0.0826326963906582,0.0817902994554409,0.0808169585293031,0.0494402985074627
8,0.162572721396251,0.108858580787771,0.112513316397607,0.107096853507526,0.10533512622728,0.051156271899089
9,0.187358916478555,0.1335346392765,0.143318400471276,0.131282358768466,0.129030078260431,0.0541549953314659
10,0.195478723404255,0.14510399994586,0.152441860465116,0.142988690233645,0.14087338052143,0.0628886542297313
11,0.194000652103032,0.147990804939724,0.151936444885799,0.146244311596232,0.144497818252741,0.0756775783174938
12,0.196492367651835,0.1468410700538,0.147153722055773,0.145368376492317,0.143895682930835,0.0863140612173097
13,0.190058479532164,0.14502688518855,0.145532390651536,0.143782803416917,0.142538721645283,0.0905813953488372
14,0.178464606181456,0.14537791330669,0.146267432321575,0.144178331922069,0.142978750537449,0.0917655268667132
15,0.196983867196633,0.142980282000762,0.143926735116184,0.141816282162225,0.140652282323688,0.0908456438292428
16,0.174867021276596,0.135080847267887,0.135631728637521,0.133982323464382,0.132883799660877,0.0854084244821969
17,0.16843853820598,0.124021238151354,0.124225780063106,0.123007088038336,0.121992937925319,0.0823145884270579
18,0.153620352250489,0.116250405197763,0.115557401989154,0.115283252489466,0.114316099781168,0.0797767182230492
19,0.153294194390085,0.109988284276245,0.10979409030523,0.109051421760386,0.108114559244526,0.0714285714285714
20,0.139124755062051,0.101138590573503,0.1011776413999,0.100256134366295,0.0993736781590873,0.0649063626846574
21,0.126466753585398,0.0901214446844831,0.0897735817923171,0.0893229043684383,0.0885243640523936,0.0594691168963757
22,0.11860540892799,0.0786822561603751,0.0783295977350478,0.0780157712079779,0.0773492862555806,0.0533484676503973
23,0.118603411513859,0.0706733491423,0.0704448527541423,0.0700361696008449,0.0693989900593897,0.0490658001624695
24,0.128246318607764,0.0667354010943636,0.0653456998313659,0.0659999429211721,0.0652644847479806,0.0463984425697599
