"timestamp","year","month","day","weekday","hour","minute","occupied","available","unknown","service","NA_","total","utilization"
2023-08-04 00:00:01,2023,8,4,6,24,0,673,10491,998,752,1425,14823,0.0602830526692942
2023-08-04 00:05:01,2023,8,4,6,24,5,661,10496,1003,754,1425,14823,0.0592453168414448
2023-08-04 00:10:01,2023,8,4,6,24,10,658,10492,1009,755,1425,14823,0.0590134529147982
2023-08-04 00:15:01,2023,8,4,6,24,15,653,10506,1004,751,1425,14823,0.0585177883322878
2023-08-04 00:20:01,2023,8,4,6,24,20,650,10511,1001,752,1425,14823,0.0582385090941672
2023-08-04 00:25:01,2023,8,4,6,24,25,652,10498,1010,754,1425,14823,0.05847533632287
2023-08-04 00:30:02,2023,8,4,6,24,30,651,10499,1008,756,1425,14823,0.0583856502242152
2023-08-04 00:35:01,2023,8,4,6,24,35,651,10502,1008,753,1425,14823,0.0583699453061956
2023-08-04 00:40:01,2023,8,4,6,24,40,651,10499,1010,754,1425,14823,0.0583856502242152
2023-08-04 00:45:01,2023,8,4,6,24,45,651,10507,1004,752,1425,14823,0.0583437892095358
2023-08-04 00:50:01,2023,8,4,6,24,50,648,10501,1011,754,1425,14823,0.0581218046461566
2023-08-04 00:55:01,2023,8,4,6,24,55,647,10505,1009,753,1425,14823,0.0580164992826399
2023-08-04 01:00:01,2023,8,4,6,1,0,639,10515,1006,754,1425,14823,0.0572888649811727
2023-08-04 01:05:01,2023,8,4,6,1,5,635,10509,1009,761,1425,14823,0.0569813352476669
2023-08-04 01:10:01,2023,8,4,6,1,10,637,10508,1006,763,1425,14823,0.0571556751906685
2023-08-04 01:15:01,2023,8,4,6,1,15,635,10512,1004,763,1425,14823,0.0569659998205795
2023-08-04 01:20:02,2023,8,4,6,1,20,632,10511,1010,761,1425,14823,0.0567172215740824
2023-08-04 01:25:02,2023,8,4,6,1,25,631,10516,1010,757,1425,14823,0.0566071588768278
2023-08-04 01:30:01,2023,8,4,6,1,30,630,10521,1008,755,1425,14823,0.0564971751412429
2023-08-04 01:35:01,2023,8,4,6,1,35,628,10520,1010,756,1425,14823,0.0563329745245784
2023-08-04 01:40:02,2023,8,4,6,1,40,622,10523,1014,755,1425,14823,0.05580978017048
2023-08-04 01:45:01,2023,8,4,6,1,45,620,10526,1010,758,1425,14823,0.0556253364435672
2023-08-04 01:50:01,2023,8,4,6,1,50,620,10523,1014,757,1425,14823,0.0556403123036884
2023-08-04 01:55:02,2023,8,4,6,1,55,616,10524,1018,756,1425,14823,0.0552962298025135
2023-08-04 02:00:01,2023,8,4,6,2,0,616,10531,1006,761,1425,14823,0.055261505337759
2023-08-04 02:05:01,2023,8,4,6,2,5,610,10527,1007,769,1425,14823,0.0547723803537757
2023-08-04 02:10:02,2023,8,4,6,2,10,610,10531,1011,761,1425,14823,0.0547527151961224
2023-08-04 02:15:01,2023,8,4,6,2,15,611,10541,1003,758,1425,14823,0.0547883787661406
2023-08-04 02:20:01,2023,8,4,6,2,20,611,10535,1011,756,1425,14823,0.0548178718822896
2023-08-04 02:25:01,2023,8,4,6,2,25,612,10532,1009,760,1425,14823,0.0549174443646805
