"timestamp","year","month","day","weekday","hour","minute","occupied","available","unknown","service","NA_","total","utilization"
2023-08-05 00:00:02,2023,8,5,7,24,0,726,10440,1004,746,1425,14823,0.0650188070929608
2023-08-05 00:05:01,2023,8,5,7,24,5,719,10455,995,747,1425,14823,0.0643458027563988
2023-08-05 00:10:01,2023,8,5,7,24,10,719,10441,1008,748,1425,14823,0.064426523297491
2023-08-05 00:15:01,2023,8,5,7,24,15,716,10455,995,750,1425,14823,0.064094530480709
2023-08-05 00:20:01,2023,8,5,7,24,20,715,10448,1002,751,1425,14823,0.0640508823792887
2023-08-05 00:25:02,2023,8,5,7,24,25,709,10455,1003,749,1425,14823,0.063507703332139
2023-08-05 00:30:01,2023,8,5,7,24,30,706,10460,1000,750,1425,14823,0.0632276553824109
2023-08-05 00:35:02,2023,8,5,7,24,35,703,10461,1005,747,1425,14823,0.0629702615549982
2023-08-05 00:40:01,2023,8,5,7,24,40,705,10458,1005,748,1425,14823,0.0631550658425155
2023-08-05 00:45:01,2023,8,5,7,24,45,698,10468,1003,747,1425,14823,0.0625111946981909
2023-08-05 00:50:01,2023,8,5,7,24,50,701,10466,1002,747,1425,14823,0.0627742455449091
2023-08-05 00:55:01,2023,8,5,7,24,55,700,10465,1005,746,1425,14823,0.0626959247648903
2023-08-05 01:00:02,2023,8,5,7,1,0,700,10470,1000,746,1425,14823,0.062667860340197
2023-08-05 01:05:01,2023,8,5,7,1,5,693,10476,998,749,1425,14823,0.0620467365028203
2023-08-05 01:10:01,2023,8,5,7,1,10,681,10482,1006,747,1425,14823,0.0610051061542596
2023-08-05 01:15:01,2023,8,5,7,1,15,677,10497,996,746,1425,14823,0.0605870771433685
2023-08-05 01:20:01,2023,8,5,7,1,20,680,10488,1003,745,1425,14823,0.0608882521489971
2023-08-05 01:25:01,2023,8,5,7,1,25,673,10496,1001,746,1425,14823,0.0602560658966783
2023-08-05 01:30:01,2023,8,5,7,1,30,671,10499,1001,745,1425,14823,0.0600716204118174
2023-08-05 01:35:01,2023,8,5,7,1,35,668,10504,995,749,1425,14823,0.0597923379878267
2023-08-05 01:40:01,2023,8,5,7,1,40,665,10501,1000,750,1425,14823,0.0595557943757836
2023-08-05 01:45:01,2023,8,5,7,1,45,660,10499,1007,750,1425,14823,0.0591450846850076
2023-08-05 01:50:01,2023,8,5,7,1,50,657,10512,1000,747,1425,14823,0.0588235294117647
2023-08-05 01:55:02,2023,8,5,7,1,55,656,10504,1004,752,1425,14823,0.0587813620071685
2023-08-05 02:00:01,2023,8,5,7,2,0,655,10508,1002,751,1425,14823,0.0586759831586491
2023-08-05 02:05:01,2023,8,5,7,2,5,655,10514,995,751,1425,14823,0.0586444623511505
2023-08-05 02:10:02,2023,8,5,7,2,10,659,10509,995,752,1425,14823,0.0590078796561605
2023-08-05 02:15:01,2023,8,5,7,2,15,659,10510,998,748,1425,14823,0.0590025964723789
2023-08-05 02:20:01,2023,8,5,7,2,20,656,10510,1001,748,1425,14823,0.0587497761060362
2023-08-05 02:25:01,2023,8,5,7,2,25,658,10516,993,748,1425,14823,0.0588867012708072
2023-08-05 02:30:01,2023,8,5,7,2,30,654,10508,1003,750,1425,14823,0.0585916502418921
2023-08-05 02:35:02,2023,8,5,7,2,35,652,10519,996,748,1425,14823,0.0583654104377406
2023-08-05 02:40:01,2023,8,5,7,2,40,652,10510,1005,748,1425,14823,0.0584124708833542
2023-08-05 02:45:01,2023,8,5,7,2,45,652,10518,993,752,1425,14823,0.0583706356311549
2023-08-05 02:50:01,2023,8,5,7,2,50,652,10515,995,753,1425,14823,0.0583863168263634
2023-08-05 02:55:01,2023,8,5,7,2,55,651,10504,1005,755,1425,14823,0.0583594800537875
2023-08-05 03:00:01,2023,8,5,7,3,0,653,10512,995,755,1425,14823,0.0584863412449619
2023-08-05 03:05:01,2023,8,5,7,3,5,647,10515,1000,753,1425,14823,0.0579645224870095
2023-08-05 03:10:02,2023,8,5,7,3,10,649,10497,1015,754,1425,14823,0.0582271666965728
2023-08-05 03:15:01,2023,8,5,7,3,15,646,10517,996,756,1425,14823,0.0578697482755532
2023-08-05 03:20:01,2023,8,5,7,3,20,649,10509,1000,757,1425,14823,0.0581645456174942
2023-08-05 03:25:01,2023,8,5,7,3,25,525,7420,4639,331,1425,14823,0.066079295154185
2023-08-05 03:30:01,2023,8,5,7,3,30,650,10512,1000,753,1425,14823,0.0582332915248163
2023-08-05 03:35:02,2023,8,5,7,3,35,641,10441,1095,738,1425,14823,0.0578415448475005
2023-08-05 03:40:01,2023,8,5,7,3,40,646,10500,1013,756,1425,14823,0.0579580118428136
2023-08-05 03:45:01,2023,8,5,7,3,45,643,10521,998,753,1425,14823,0.0575958437835901
2023-08-05 03:50:01,2023,8,5,7,3,50,643,10516,1003,753,1425,14823,0.0576216506855453
2023-08-05 03:55:01,2023,8,5,7,3,55,648,10496,1016,755,1425,14823,0.0581478822684853
2023-08-05 04:00:01,2023,8,5,7,4,0,649,10508,1002,756,1425,14823,0.0581697588957605
2023-08-05 04:05:01,2023,8,5,7,4,5,645,10510,1008,752,1425,14823,0.0578216046615867
2023-08-05 04:10:01,2023,8,5,7,4,10,646,10501,1020,748,1425,14823,0.0579528124158967
2023-08-05 04:15:02,2023,8,5,7,4,15,643,10517,1007,748,1425,14823,0.0576164874551971
2023-08-05 04:20:01,2023,8,5,7,4,20,485,7938,2812,536,1425,14823,0.0575804345245162
2023-08-05 04:25:02,2023,8,5,7,4,25,483,7932,3961,539,1425,14823,0.057397504456328
2023-08-05 04:30:01,2023,8,5,7,4,30,638,10511,1008,758,1425,14823,0.057224863216432
2023-08-05 04:35:01,2023,8,5,7,4,35,633,10518,1012,752,1425,14823,0.0567662093085822
2023-08-05 04:40:02,2023,8,5,7,4,40,634,10521,1013,747,1425,14823,0.0568354997758853
2023-08-05 04:45:01,2023,8,5,7,4,45,632,10531,1005,747,1425,14823,0.0566156051240706
2023-08-05 04:50:01,2023,8,5,7,4,50,630,10527,1011,747,1425,14823,0.056466792148427
2023-08-05 04:55:01,2023,8,5,7,4,55,631,10521,1016,747,1425,14823,0.0565817790530846
2023-08-05 05:00:01,2023,8,5,7,5,0,629,10534,1002,750,1425,14823,0.0563468601630386
2023-08-05 05:05:01,2023,8,5,7,5,5,631,10523,1012,749,1425,14823,0.0565716334947104
2023-08-05 05:10:01,2023,8,5,7,5,10,630,10525,1012,748,1425,14823,0.0564769161810847
2023-08-05 05:15:02,2023,8,5,7,5,15,627,10537,1006,745,1425,14823,0.0561626657112146
2023-08-05 05:20:01,2023,8,5,7,5,20,628,10534,1012,741,1425,14823,0.0562623185808995
2023-08-05 05:25:01,2023,8,5,7,5,25,632,10528,1014,741,1425,14823,0.0566308243727599
2023-08-05 05:30:01,2023,8,5,7,5,30,634,10540,998,743,1425,14823,0.0567388580633614
2023-08-05 05:35:01,2023,8,5,7,5,35,634,10522,1013,746,1425,14823,0.0568304051631409
2023-08-05 05:40:01,2023,8,5,7,5,40,638,10531,1002,744,1425,14823,0.0571223923359298
2023-08-05 05:45:01,2023,8,5,7,5,45,640,10528,1001,746,1425,14823,0.0573065902578797
2023-08-05 05:50:01,2023,8,5,7,5,50,643,10509,1013,750,1425,14823,0.0576578192252511
2023-08-05 05:55:01,2023,8,5,7,5,55,645,10515,1001,754,1425,14823,0.0577956989247312
2023-08-05 06:00:01,2023,8,5,7,6,0,642,10517,1001,755,1425,14823,0.057532036920871
2023-08-05 06:05:01,2023,8,5,7,6,5,646,10460,1061,748,1425,14823,0.0581667567080857
2023-08-05 06:10:01,2023,8,5,7,6,10,643,10478,1048,746,1425,14823,0.0578185414980667
2023-08-05 06:15:01,2023,8,5,7,6,15,645,10478,1044,748,1425,14823,0.0579879528904073
2023-08-05 06:20:01,2023,8,5,7,6,20,643,10473,1055,744,1425,14823,0.0578445483987046
2023-08-05 06:25:01,2023,8,5,7,6,25,636,10489,1045,745,1425,14823,0.0571685393258427
2023-08-05 06:30:02,2023,8,5,7,6,30,631,10503,1034,747,1425,14823,0.0566732530986169
2023-08-05 06:35:01,2023,8,5,7,6,35,626,10478,1050,761,1425,14823,0.0563760806916426
2023-08-05 06:40:01,2023,8,5,7,6,40,630,10487,1039,759,1425,14823,0.0566699649185931
2023-08-05 06:45:02,2023,8,5,7,6,45,634,10492,1036,753,1425,14823,0.0569836419198274
2023-08-05 06:50:01,2023,8,5,7,6,50,641,10464,1055,755,1425,14823,0.0577217469608285
2023-08-05 06:55:01,2023,8,5,7,6,55,643,10461,1053,758,1425,14823,0.057907060518732
2023-08-05 07:00:01,2023,8,5,7,7,0,644,10463,1051,757,1425,14823,0.0579814531376609
2023-08-05 07:05:01,2023,8,5,7,7,5,644,10432,1077,762,1425,14823,0.0581437342000722
2023-08-05 07:10:01,2023,8,5,7,7,10,641,10442,1074,758,1425,14823,0.0578363259045385
2023-08-05 07:15:01,2023,8,5,7,7,15,647,10448,1064,756,1425,14823,0.0583145561063542
2023-08-05 07:20:01,2023,8,5,7,7,20,656,10430,1077,752,1425,14823,0.0591737326357568
2023-08-05 07:25:02,2023,8,5,7,7,25,653,10439,1070,753,1425,14823,0.0588712585647313
2023-08-05 07:30:01,2023,8,5,7,7,30,662,10429,1071,753,1425,14823,0.0596880353439726
2023-08-05 07:35:02,2023,8,5,7,7,35,662,10434,1069,750,1425,14823,0.059661139149243
2023-08-05 07:40:01,2023,8,5,7,7,40,659,10444,1059,753,1425,14823,0.0593533279293885
2023-08-05 07:45:01,2023,8,5,7,7,45,659,10441,1061,754,1425,14823,0.0593693693693694
2023-08-05 07:50:01,2023,8,5,7,7,50,669,10435,1060,751,1425,14823,0.0602485590778098
2023-08-05 07:55:01,2023,8,5,7,7,55,661,10438,1066,750,1425,14823,0.0595549148571943
2023-08-05 08:00:01,2023,8,5,7,8,0,659,10439,1068,749,1425,14823,0.0593800684808074
2023-08-05 08:05:01,2023,8,5,7,8,5,672,10432,1062,749,1425,14823,0.0605187319884726
2023-08-05 08:10:01,2023,8,5,7,8,10,674,10431,1061,749,1425,14823,0.0606933813597479
2023-08-05 08:15:01,2023,8,5,7,8,15,678,10432,1058,747,1425,14823,0.061026102610261
2023-08-05 08:20:01,2023,8,5,7,8,20,669,10438,1059,749,1425,14823,0.0602322859457999
2023-08-05 08:25:02,2023,8,5,7,8,25,672,10428,1063,752,1425,14823,0.0605405405405405
2023-08-05 08:30:01,2023,8,5,7,8,30,674,10427,1061,753,1425,14823,0.0607152508782993
2023-08-05 08:35:02,2023,8,5,7,8,35,689,10418,1066,742,1425,14823,0.0620329521923112
2023-08-05 08:40:01,2023,8,5,7,8,40,688,10424,1057,746,1425,14823,0.0619150467962563
2023-08-05 08:45:01,2023,8,5,7,8,45,699,10400,1068,748,1425,14823,0.0629786467249302
2023-08-05 08:50:01,2023,8,5,7,8,50,701,10408,1062,744,1425,14823,0.0631019893779818
2023-08-05 08:55:02,2023,8,5,7,8,55,712,10400,1057,746,1425,14823,0.0640748740100792
2023-08-05 09:00:01,2023,8,5,7,9,0,718,10385,1065,747,1425,14823,0.0646672070611546
2023-08-05 09:05:02,2023,8,5,7,9,5,729,10390,1053,743,1425,14823,0.0655634499505351
2023-08-05 09:10:01,2023,8,5,7,9,10,752,10359,1061,743,1425,14823,0.0676806768067681
2023-08-05 09:15:02,2023,8,5,7,9,15,767,10347,1062,739,1425,14823,0.069012056865215
2023-08-05 09:20:01,2023,8,5,7,9,20,767,10348,1062,738,1425,14823,0.0690058479532164
2023-08-05 09:25:01,2023,8,5,7,9,25,784,10332,1061,738,1425,14823,0.0705289672544081
2023-08-05 09:30:01,2023,8,5,7,9,30,801,10325,1048,741,1425,14823,0.0719935286715801
2023-08-05 09:35:01,2023,8,5,7,9,35,841,10274,1057,743,1425,14823,0.0756635177687809
2023-08-05 09:40:02,2023,8,5,7,9,40,867,10254,1047,747,1425,14823,0.0779606150526032
2023-08-05 09:45:01,2023,8,5,7,9,45,896,10214,1055,750,1425,14823,0.0806480648064807
2023-08-05 09:50:02,2023,8,5,7,9,50,907,10208,1049,751,1425,14823,0.0816014394961763
2023-08-05 09:55:01,2023,8,5,7,9,55,931,10179,1054,751,1425,14823,0.0837983798379838
2023-08-05 10:00:01,2023,8,5,7,10,0,943,10170,1049,753,1425,14823,0.0848555745523261
2023-08-05 10:05:01,2023,8,5,7,10,5,950,10162,1051,752,1425,14823,0.0854931605471562
2023-08-05 10:10:01,2023,8,5,7,10,10,965,10148,1050,752,1425,14823,0.0868352380095384
2023-08-05 10:15:02,2023,8,5,7,10,15,976,10141,1044,754,1425,14823,0.0877934694611856
2023-08-05 10:20:01,2023,8,5,7,10,20,1001,10117,1042,754,1425,14823,0.0900341788091383
2023-08-05 10:25:02,2023,8,5,7,10,25,1012,10104,1041,758,1425,14823,0.0910399424253329
2023-08-05 10:30:01,2023,8,5,7,10,30,1025,10088,1049,753,1425,14823,0.0922343201655719
2023-08-05 10:35:02,2023,8,5,7,10,35,1061,10057,1045,752,1425,14823,0.0954308328836122
2023-08-05 10:40:01,2023,8,5,7,10,40,1064,10063,1039,749,1425,14823,0.0956232587400018
2023-08-05 10:45:01,2023,8,5,7,10,45,1067,10063,1038,747,1425,14823,0.0958670260557053
2023-08-05 10:50:02,2023,8,5,7,10,50,1074,10065,1030,746,1425,14823,0.0964179908429841
2023-08-05 10:55:01,2023,8,5,7,10,55,1091,10042,1033,749,1425,14823,0.0979969460163478
2023-08-05 11:00:01,2023,8,5,7,11,0,1104,10028,1033,750,1425,14823,0.0991735537190083
2023-08-05 11:05:01,2023,8,5,7,11,5,1121,10009,1032,753,1425,14823,0.100718778077269
2023-08-05 11:10:01,2023,8,5,7,11,10,1122,10003,1035,755,1425,14823,0.10085393258427
2023-08-05 11:15:01,2023,8,5,7,11,15,1143,9993,1035,744,1425,14823,0.102640086206897
2023-08-05 11:20:01,2023,8,5,7,11,20,1171,9972,1031,741,1425,14823,0.105088396302612
2023-08-05 11:25:01,2023,8,5,7,11,25,1163,9978,1030,744,1425,14823,0.10438919307064
2023-08-05 11:30:01,2023,8,5,7,11,30,1168,9976,1027,744,1425,14823,0.10480976310122
2023-08-05 11:35:01,2023,8,5,7,11,35,1201,9943,1025,746,1425,14823,0.107770997846375
2023-08-05 11:40:01,2023,8,5,7,11,40,1217,9923,1027,748,1425,14823,0.109245960502693
2023-08-05 11:45:01,2023,8,5,7,11,45,1231,9910,1026,748,1425,14823,0.110492774436765
2023-08-05 11:50:01,2023,8,5,7,11,50,1247,9888,1034,746,1425,14823,0.111989223170184
2023-08-05 11:55:01,2023,8,5,7,11,55,1240,9903,1022,750,1425,14823,0.111280624607377
2023-08-05 12:00:01,2023,8,5,7,12,0,1240,9903,1024,748,1425,14823,0.111280624607377
2023-08-05 12:05:01,2023,8,5,7,12,5,1254,9879,1028,754,1425,14823,0.112638102937214
2023-08-05 12:10:01,2023,8,5,7,12,10,1252,9889,1018,755,1425,14823,0.112377703976304
2023-08-05 12:15:02,2023,8,5,7,12,15,1262,9873,1029,751,1425,14823,0.113336326897171
2023-08-05 12:20:01,2023,8,5,7,12,20,1279,9854,1025,757,1425,14823,0.11488367915207
