"timestamp","year","month","day","weekday","hour","minute","occupied","available","unknown","service","NA_","total","utilization"
2023-08-01 00:00:01,2023,8,1,3,24,0,695,10417,990,797,1425,14823,0.062544996400288
2023-08-01 00:05:01,2023,8,1,3,24,5,681,10421,999,798,1425,14823,0.0613402990452171
2023-08-01 00:10:02,2023,8,1,3,24,10,685,10415,1001,798,1425,14823,0.0617117117117117
2023-08-01 00:15:01,2023,8,1,3,24,15,683,10432,987,797,1425,14823,0.0614484930274404
2023-08-01 00:20:01,2023,8,1,3,24,20,678,10435,985,801,1425,14823,0.0610096283631783
2023-08-01 00:25:02,2023,8,1,3,24,25,670,10430,996,803,1425,14823,0.0603603603603604
2023-08-01 00:30:01,2023,8,1,3,24,30,665,10442,984,808,1425,14823,0.0598721526964977
2023-08-01 00:35:01,2023,8,1,3,24,35,657,10434,997,811,1425,14823,0.0592372193670544
2023-08-01 00:40:01,2023,8,1,3,24,40,654,10444,996,805,1425,14823,0.0589295368534871
2023-08-01 00:45:01,2023,8,1,3,24,45,652,10453,991,803,1425,14823,0.0587122917604683
2023-08-01 00:50:01,2023,8,1,3,24,50,651,10450,1000,798,1425,14823,0.0586433654625709
2023-08-01 00:55:01,2023,8,1,3,24,55,654,10456,991,798,1425,14823,0.0588658865886589
2023-08-01 01:00:01,2023,8,1,3,1,0,649,10453,995,802,1425,14823,0.0584579355071158
2023-08-01 01:05:01,2023,8,1,3,1,5,640,10458,999,802,1425,14823,0.0576680482969904
2023-08-01 01:10:01,2023,8,1,3,1,10,633,10471,999,796,1425,14823,0.0570064841498559
2023-08-01 01:15:01,2023,8,1,3,1,15,629,10471,1001,798,1425,14823,0.0566666666666667
2023-08-01 01:20:01,2023,8,1,3,1,20,626,10470,1003,800,1425,14823,0.0564167267483778
2023-08-01 01:25:02,2023,8,1,3,1,25,626,10475,1001,797,1425,14823,0.0563913160976489
2023-08-01 01:30:01,2023,8,1,3,1,30,625,10480,1000,794,1425,14823,0.0562809545249887
2023-08-01 01:35:01,2023,8,1,3,1,35,621,10468,1008,802,1425,14823,0.0560014428713139
2023-08-01 01:40:02,2023,8,1,3,1,40,622,10471,1005,801,1425,14823,0.056071396376093
2023-08-01 01:45:01,2023,8,1,3,1,45,621,10479,998,801,1425,14823,0.0559459459459459
2023-08-01 01:50:01,2023,8,1,3,1,50,619,10472,1010,798,1425,14823,0.0558110179424759
2023-08-01 01:55:01,2023,8,1,3,1,55,614,10485,1003,797,1425,14823,0.0553202991260474
2023-08-01 02:00:01,2023,8,1,3,2,0,614,10485,1002,798,1425,14823,0.0553202991260474
2023-08-01 02:05:02,2023,8,1,3,2,5,613,10470,1012,804,1425,14823,0.0553099341333574
2023-08-01 02:10:01,2023,8,1,3,2,10,612,10489,999,799,1425,14823,0.0551301684532925
2023-08-01 02:15:01,2023,8,1,3,2,15,611,10488,1005,795,1425,14823,0.0550500045049103
2023-08-01 02:20:01,2023,8,1,3,2,20,610,10490,1007,792,1425,14823,0.054954954954955
2023-08-01 02:25:01,2023,8,1,3,2,25,610,10496,1002,791,1425,14823,0.0549252656221862
2023-08-01 02:30:01,2023,8,1,3,2,30,607,10492,1010,790,1425,14823,0.0546896116767276
2023-08-01 02:35:01,2023,8,1,3,2,35,488,7442,4614,357,1425,14823,0.0615384615384615
2023-08-01 02:40:01,2023,8,1,3,2,40,608,10496,1002,795,1425,14823,0.0547550432276657
