"timestamp","year","month","day","weekday","hour","minute","occupied","available","unknown","service","NA_","total","utilization"
2023-02-03 00:00:02,2023,2,3,6,24,0,410,5898,641,474,2382,12931,0.064996829422955
2023-02-03 00:05:02,2023,2,3,6,24,5,406,5883,658,476,2382,12931,0.0645571633010018
2023-02-03 00:10:02,2023,2,3,6,24,10,404,5892,646,481,2382,12931,0.0641677255400254
2023-02-03 00:15:02,2023,2,3,6,24,15,404,5902,643,474,2382,12931,0.0640659689184903
2023-02-03 00:20:02,2023,2,3,6,24,20,403,5888,656,476,2382,12931,0.0640597679224289
2023-02-03 00:25:02,2023,2,3,6,24,25,402,5895,643,483,2382,12931,0.0638399237732254
2023-02-03 00:30:02,2023,2,3,6,24,30,401,5899,645,478,2382,12931,0.0636507936507937
2023-02-03 00:35:02,2023,2,3,6,24,35,397,5899,650,477,2382,12931,0.0630559085133418
2023-02-03 00:40:02,2023,2,3,6,24,40,398,5901,644,480,2382,12931,0.0631846324813462
2023-02-03 00:45:02,2023,2,3,6,24,45,400,5896,650,477,2382,12931,0.0635324015247776
2023-02-03 00:50:02,2023,2,3,6,24,50,396,5901,648,478,2382,12931,0.0628870890900429
2023-02-03 00:55:02,2023,2,3,6,24,55,394,5900,646,483,2382,12931,0.0625993009215126
2023-02-03 01:00:02,2023,2,3,6,1,0,391,5899,653,480,2382,12931,0.0621621621621622
2023-02-03 01:05:02,2023,2,3,6,1,5,578,8150,810,489,2382,12931,0.0662236480293309
2023-02-03 01:10:02,2023,2,3,6,1,10,579,8148,806,494,2382,12931,0.0663458233069783
2023-02-03 01:15:02,2023,2,3,6,1,15,577,8145,811,494,2382,12931,0.0661545517083238
2023-02-03 01:20:02,2023,2,3,6,1,20,582,8143,812,490,2382,12931,0.0667048710601719
2023-02-03 01:25:02,2023,2,3,6,1,25,582,8146,806,493,2382,12931,0.0666819431714024
2023-02-03 01:30:02,2023,2,3,6,1,30,582,8139,814,492,2382,12931,0.0667354661162711
2023-02-03 01:35:02,2023,2,3,6,1,35,584,8142,811,490,2382,12931,0.0669264267705707
2023-02-03 01:40:02,2023,2,3,6,1,40,584,8144,807,492,2382,12931,0.0669110907424381
2023-02-03 01:45:02,2023,2,3,6,1,45,583,8134,823,487,2382,12931,0.0668808076172995
2023-02-03 01:50:02,2023,2,3,6,1,50,576,8152,810,489,2382,12931,0.0659945004582951
2023-02-03 01:55:02,2023,2,3,6,1,55,578,8151,806,492,2382,12931,0.0662160614045137
2023-02-03 02:00:02,2023,2,3,6,2,0,574,8138,826,489,2382,12931,0.0658861340679523
2023-02-03 02:05:02,2023,2,3,6,2,5,576,8151,810,490,2382,12931,0.0660020625644551
2023-02-03 02:10:02,2023,2,3,6,2,10,578,8137,820,492,2382,12931,0.0663224325874928
2023-02-03 02:15:03,2023,2,3,6,2,15,577,8144,817,489,2382,12931,0.0661621373695677
2023-02-03 02:20:02,2023,2,3,6,2,20,573,8158,805,491,2382,12931,0.0656282212804948
2023-02-03 02:25:03,2023,2,3,6,2,25,572,8147,815,493,2382,12931,0.0656038536529419
2023-02-03 02:30:02,2023,2,3,6,2,30,569,8148,820,490,2382,12931,0.0652747504875531
2023-02-03 02:35:02,2023,2,3,6,2,35,570,8159,808,490,2382,12931,0.0652995761255585
2023-02-03 02:40:02,2023,2,3,6,2,40,570,8148,818,491,2382,12931,0.0653819683413627
2023-02-03 02:45:02,2023,2,3,6,2,45,574,8152,813,488,2382,12931,0.0657804263121705
2023-02-03 02:50:02,2023,2,3,6,2,50,572,8157,810,488,2382,12931,0.0655286974452973
