"timestamp","year","month","day","weekday","hour","minute","occupied","available","unknown","service","NA_","total","utilization"
2023-05-05 00:00:01,2023,5,5,6,24,0,620,9581,1072,644,1380,13730,0.0607783550632291
2023-05-05 00:05:01,2023,5,5,6,24,5,606,9596,1067,648,1380,13730,0.0594001176239953
2023-05-05 00:10:01,2023,5,5,6,24,10,606,9598,1062,651,1380,13730,0.0593884751078009
2023-05-05 00:15:01,2023,5,5,6,24,15,607,9586,1073,651,1380,13730,0.0595506720298244
2023-05-05 00:20:01,2023,5,5,6,24,20,609,9593,1065,650,1380,13730,0.0596941776122329
2023-05-05 00:25:01,2023,5,5,6,24,25,608,9597,1063,649,1380,13730,0.059578637922587
2023-05-05 00:30:01,2023,5,5,6,24,30,606,9598,1064,649,1380,13730,0.0593884751078009
2023-05-05 00:35:01,2023,5,5,6,24,35,603,9623,1057,634,1380,13730,0.0589673381576374
2023-05-05 00:40:01,2023,5,5,6,24,40,597,9634,1056,630,1380,13730,0.0583520672466035
2023-05-05 00:45:01,2023,5,5,6,24,45,591,9637,1057,632,1380,13730,0.0577825576847869
2023-05-05 00:50:01,2023,5,5,6,24,50,587,9642,1057,631,1380,13730,0.0573858637207938
2023-05-05 00:55:01,2023,5,5,6,24,55,585,9633,1067,632,1380,13730,0.0572519083969466
2023-05-05 01:00:01,2023,5,5,6,1,0,579,9641,1069,628,1380,13730,0.0566536203522505
2023-05-05 01:05:02,2023,5,5,6,1,5,580,9643,1065,629,1380,13730,0.0567348136554827
2023-05-05 01:10:01,2023,5,5,6,1,10,579,9641,1067,630,1380,13730,0.0566536203522505
2023-05-05 01:15:01,2023,5,5,6,1,15,579,9649,1066,623,1380,13730,0.0566093077825577
2023-05-05 01:20:01,2023,5,5,6,1,20,577,9651,1065,624,1380,13730,0.0564137661321862
2023-05-05 01:25:02,2023,5,5,6,1,25,576,9648,1069,624,1380,13730,0.0563380281690141
2023-05-05 01:30:01,2023,5,5,6,1,30,575,9651,1065,626,1380,13730,0.0562292196362214
2023-05-05 01:35:01,2023,5,5,6,1,35,572,9653,1065,627,1380,13730,0.0559413202933985
2023-05-05 01:40:01,2023,5,5,6,1,40,570,9648,1068,631,1380,13730,0.0557839107457428
2023-05-05 01:45:01,2023,5,5,6,1,45,570,9650,1069,628,1380,13730,0.0557729941291585
