"timestamp","year","month","day","weekday","hour","minute","occupied","available","unknown","service","NA_","total","utilization"
2022-12-09 00:00:02,2022,12,9,6,24,0,539,5541,731,429,2806,12931,0.0886513157894737
2022-12-09 00:05:02,2022,12,9,6,24,5,534,5527,750,429,2806,12931,0.0881042732222406
2022-12-09 00:10:02,2022,12,9,6,24,10,534,5528,746,432,2806,12931,0.0880897393599472
2022-12-09 00:15:02,2022,12,9,6,24,15,534,5532,743,431,2806,12931,0.0880316518298714
2022-12-09 00:20:02,2022,12,9,6,24,20,535,5526,749,430,2806,12931,0.0882692624979376
2022-12-09 00:25:02,2022,12,9,6,24,25,534,5525,749,432,2806,12931,0.0881333553391649
2022-12-09 00:30:02,2022,12,9,6,24,30,534,5533,742,431,2806,12931,0.0880171419152794
2022-12-09 00:35:02,2022,12,9,6,24,35,442,3304,3308,186,2806,12931,0.117992525360384
2022-12-09 00:40:02,2022,12,9,6,24,40,535,5531,742,432,2806,12931,0.0881965051104517
2022-12-09 00:45:02,2022,12,9,6,24,45,535,5532,742,431,2806,12931,0.088181968023735
2022-12-09 00:50:02,2022,12,9,6,24,50,535,5527,747,431,2806,12931,0.0882547014186737
2022-12-09 00:55:02,2022,12,9,6,24,55,534,5527,750,429,2806,12931,0.0881042732222406
2022-12-09 01:00:02,2022,12,9,6,1,0,535,5538,738,429,2806,12931,0.0880948460398485
2022-12-09 01:05:02,2022,12,9,6,1,5,686,7730,939,455,2806,12931,0.0815114068441065
2022-12-09 01:10:02,2022,12,9,6,1,10,688,7727,939,456,2806,12931,0.0817587641117053
2022-12-09 01:15:02,2022,12,9,6,1,15,690,7726,941,453,2806,12931,0.0819866920152091
2022-12-09 01:20:01,2022,12,9,6,1,20,689,7732,933,456,2806,12931,0.0818192613703836
2022-12-09 01:25:02,2022,12,9,6,1,25,689,7725,941,455,2806,12931,0.0818873306394105
2022-12-09 01:30:02,2022,12,9,6,1,30,690,7724,940,456,2806,12931,0.0820061801758973
2022-12-09 01:35:02,2022,12,9,6,1,35,691,7724,940,455,2806,12931,0.0821152703505645
2022-12-09 01:40:02,2022,12,9,6,1,40,689,7708,958,455,2806,12931,0.082053114207455
2022-12-09 01:45:02,2022,12,9,6,1,45,688,7722,945,455,2806,12931,0.081807372175981
2022-12-09 01:50:02,2022,12,9,6,1,50,687,7723,943,457,2806,12931,0.0816884661117717
2022-12-09 01:55:02,2022,12,9,6,1,55,685,7705,962,458,2806,12931,0.0816448152562575
2022-12-09 02:00:02,2022,12,9,6,2,0,688,7721,944,457,2806,12931,0.0818171007254132
2022-12-09 02:05:02,2022,12,9,6,2,5,684,7730,937,459,2806,12931,0.0812930829569765
2022-12-09 02:10:02,2022,12,9,6,2,10,683,7718,952,457,2806,12931,0.0812998452565171
2022-12-09 02:15:02,2022,12,9,6,2,15,682,7735,936,457,2806,12931,0.0810264940002376
2022-12-09 02:20:02,2022,12,9,6,2,20,681,7726,946,457,2806,12931,0.0810039253003449
2022-12-09 02:25:02,2022,12,9,6,2,25,681,7730,942,457,2806,12931,0.0809654024491737
2022-12-09 02:30:02,2022,12,9,6,2,30,681,7726,946,457,2806,12931,0.0810039253003449
2022-12-09 02:35:02,2022,12,9,6,2,35,676,7747,930,457,2806,12931,0.0802564406980886
2022-12-09 02:40:02,2022,12,9,6,2,40,677,7736,935,462,2806,12931,0.0804707001069773
2022-12-09 02:45:02,2022,12,9,6,2,45,676,7733,939,462,2806,12931,0.0803900582709002
2022-12-09 02:50:02,2022,12,9,6,2,50,675,7745,928,462,2806,12931,0.080166270783848
2022-12-09 02:55:02,2022,12,9,6,2,55,585,5518,3493,214,2806,12931,0.0958544977879731
2022-12-09 03:00:02,2022,12,9,6,3,0,674,7745,930,461,2806,12931,0.0800570138971374
2022-12-09 03:05:02,2022,12,9,6,3,5,673,7763,925,449,2806,12931,0.0797771455666192
2022-12-09 03:10:02,2022,12,9,6,3,10,671,7752,939,448,2806,12931,0.0796628279710317
2022-12-09 03:15:02,2022,12,9,6,3,15,673,7759,930,448,2806,12931,0.079814990512334
2022-12-09 03:20:02,2022,12,9,6,3,20,672,7749,941,448,2806,12931,0.0798004987531172
2022-12-09 03:25:03,2022,12,9,6,3,25,670,7758,934,448,2806,12931,0.0794969150450878
2022-12-09 03:30:02,2022,12,9,6,3,30,670,7767,924,449,2806,12931,0.0794121133104184
2022-12-09 03:35:02,2022,12,9,6,3,35,671,7749,940,450,2806,12931,0.0796912114014252
2022-12-09 03:40:01,2022,12,9,6,3,40,670,7755,937,448,2806,12931,0.0795252225519288
2022-12-09 03:45:02,2022,12,9,6,3,45,668,7760,934,448,2806,12931,0.0792596108210726
2022-12-09 03:50:02,2022,12,9,6,3,50,668,7752,942,448,2806,12931,0.0793349168646081
2022-12-09 03:55:02,2022,12,9,6,3,55,666,7758,939,447,2806,12931,0.0790598290598291
2022-12-09 04:00:02,2022,12,9,6,4,0,667,7762,933,448,2806,12931,0.0791315695812077
2022-12-09 04:05:02,2022,12,9,6,4,5,662,7759,941,448,2806,12931,0.0786129913311958
2022-12-09 04:10:02,2022,12,9,6,4,10,661,7762,942,445,2806,12931,0.078475602516918
2022-12-09 04:15:02,2022,12,9,6,4,15,662,7769,933,446,2806,12931,0.0785197485470288
2022-12-09 04:20:02,2022,12,9,6,4,20,661,7757,944,448,2806,12931,0.0785222143026847
2022-12-09 04:25:02,2022,12,9,6,4,25,660,7760,943,447,2806,12931,0.0783847980997625
2022-12-09 04:30:02,2022,12,9,6,4,30,657,7769,937,447,2806,12931,0.0779729408972229
2022-12-09 04:35:02,2022,12,9,6,4,35,656,7761,945,448,2806,12931,0.0779375074254485
2022-12-09 04:40:01,2022,12,9,6,4,40,654,7764,944,448,2806,12931,0.0776906628652887
2022-12-09 04:45:02,2022,12,9,6,4,45,654,7773,935,448,2806,12931,0.0776076895692417
2022-12-09 04:50:02,2022,12,9,6,4,50,654,7761,948,447,2806,12931,0.0777183600713012
2022-12-09 04:55:02,2022,12,9,6,4,55,654,7766,943,447,2806,12931,0.0776722090261283
2022-12-09 05:00:02,2022,12,9,6,5,0,655,7770,937,448,2806,12931,0.0777448071216617
2022-12-09 05:05:02,2022,12,9,6,5,5,655,7755,951,449,2806,12931,0.0778834720570749
2022-12-09 05:10:02,2022,12,9,6,5,10,655,7761,945,449,2806,12931,0.0778279467680608
2022-12-09 05:15:02,2022,12,9,6,5,15,653,7760,950,447,2806,12931,0.0776179721859028
2022-12-09 05:20:02,2022,12,9,6,5,20,653,7766,943,448,2806,12931,0.077562655897375
2022-12-09 05:25:02,2022,12,9,6,5,25,654,7760,946,450,2806,12931,0.0777275968623722
2022-12-09 05:30:02,2022,12,9,6,5,30,654,7762,944,450,2806,12931,0.0777091254752852
2022-12-09 05:35:02,2022,12,9,6,5,35,656,7768,936,450,2806,12931,0.0778727445394112
2022-12-09 05:40:02,2022,12,9,6,5,40,657,7760,944,449,2806,12931,0.0780563146014019
2022-12-09 05:45:02,2022,12,9,6,5,45,658,7770,932,450,2806,12931,0.0780730897009967
