"timestamp","year","month","day","weekday","hour","minute","occupied","available","unknown","service","NA_","total","utilization"
2022-12-10 00:00:01,2022,12,10,7,24,0,585,5535,734,425,2806,12931,0.0955882352941176
2022-12-10 00:05:02,2022,12,10,7,24,5,574,5528,746,431,2806,12931,0.0940675188462799
2022-12-10 00:10:02,2022,12,10,7,24,10,570,5536,740,433,2806,12931,0.0933508024893547
2022-12-10 00:15:02,2022,12,10,7,24,15,569,5532,747,431,2806,12931,0.0932633994427143
2022-12-10 00:20:02,2022,12,10,7,24,20,568,5533,745,433,2806,12931,0.093099491886576
2022-12-10 00:25:02,2022,12,10,7,24,25,571,5533,742,433,2806,12931,0.0935452162516383
2022-12-10 00:30:02,2022,12,10,7,24,30,570,5533,744,432,2806,12931,0.0933966901523841
2022-12-10 00:35:02,2022,12,10,7,24,35,567,5539,746,427,2806,12931,0.0928594824762529
2022-12-10 00:40:02,2022,12,10,7,24,40,566,5540,745,428,2806,12931,0.0926957091385522
2022-12-10 00:45:02,2022,12,10,7,24,45,567,5538,747,427,2806,12931,0.0928746928746929
2022-12-10 00:50:02,2022,12,10,7,24,50,568,5542,743,426,2806,12931,0.092962356792144
2022-12-10 00:55:02,2022,12,10,7,24,55,568,5541,743,427,2806,12931,0.0929775740710427
2022-12-10 01:00:02,2022,12,10,7,1,0,566,5534,752,427,2806,12931,0.0927868852459016
2022-12-10 01:05:02,2022,12,10,7,1,5,753,7722,936,439,2806,12931,0.0888495575221239
2022-12-10 01:10:02,2022,12,10,7,1,10,755,7726,930,439,2806,12931,0.0890225209291357
2022-12-10 01:15:02,2022,12,10,7,1,15,753,7718,941,438,2806,12931,0.0888915122181561
2022-12-10 01:20:02,2022,12,10,7,1,20,748,7731,933,438,2806,12931,0.08821795022998
2022-12-10 01:25:02,2022,12,10,7,1,25,749,7731,931,439,2806,12931,0.0883254716981132
2022-12-10 01:30:02,2022,12,10,7,1,30,748,7720,943,439,2806,12931,0.0883325460557393
2022-12-10 01:35:02,2022,12,10,7,1,35,745,7728,938,439,2806,12931,0.0879263543019002
2022-12-10 01:40:02,2022,12,10,7,1,40,745,7728,937,440,2806,12931,0.0879263543019002
2022-12-10 01:45:02,2022,12,10,7,1,45,741,7721,949,439,2806,12931,0.0875679508390451
2022-12-10 01:50:02,2022,12,10,7,1,50,740,7737,934,439,2806,12931,0.0872950336203846
2022-12-10 01:55:02,2022,12,10,7,1,55,740,7740,931,439,2806,12931,0.0872641509433962
2022-12-10 02:00:02,2022,12,10,7,2,0,736,7731,944,439,2806,12931,0.086925711586158
2022-12-10 02:05:02,2022,12,10,7,2,5,734,7748,929,439,2806,12931,0.0865361942937986
2022-12-10 02:10:02,2022,12,10,7,2,10,732,7748,931,439,2806,12931,0.0863207547169811
2022-12-10 02:15:02,2022,12,10,7,2,15,730,7741,940,439,2806,12931,0.086176366426632
2022-12-10 02:20:02,2022,12,10,7,2,20,729,7749,931,441,2806,12931,0.0859872611464968
2022-12-10 02:25:02,2022,12,10,7,2,25,731,7750,928,441,2806,12931,0.0861926659592029
2022-12-10 02:30:02,2022,12,10,7,2,30,730,7740,939,441,2806,12931,0.0861865407319953
2022-12-10 02:35:02,2022,12,10,7,2,35,728,7750,933,439,2806,12931,0.0858693087992451
2022-12-10 02:40:02,2022,12,10,7,2,40,729,7751,931,439,2806,12931,0.0859669811320755
2022-12-10 02:45:02,2022,12,10,7,2,45,729,7740,941,440,2806,12931,0.0860786397449522
2022-12-10 02:50:02,2022,12,10,7,2,50,730,7745,933,442,2806,12931,0.0861356932153392
2022-12-10 02:55:02,2022,12,10,7,2,55,728,7748,932,442,2806,12931,0.0858895705521472
2022-12-10 03:00:02,2022,12,10,7,3,0,728,7739,941,442,2806,12931,0.0859808668950041
2022-12-10 03:05:02,2022,12,10,7,3,5,732,7740,936,442,2806,12931,0.0864022662889518
2022-12-10 03:10:02,2022,12,10,7,3,10,732,7744,933,441,2806,12931,0.0863614912694667
2022-12-10 03:15:02,2022,12,10,7,3,15,731,7746,932,441,2806,12931,0.0862333372655421
2022-12-10 03:20:02,2022,12,10,7,3,20,729,7742,938,441,2806,12931,0.0860583166096093
2022-12-10 03:25:02,2022,12,10,7,3,25,726,7743,940,441,2806,12931,0.085724406659582
2022-12-10 03:30:02,2022,12,10,7,3,30,725,7741,943,441,2806,12931,0.0856366643042759
2022-12-10 03:35:02,2022,12,10,7,3,35,726,7746,936,442,2806,12931,0.0856940509915014
2022-12-10 03:40:02,2022,12,10,7,3,40,726,7739,941,444,2806,12931,0.0857649143532191
2022-12-10 03:45:02,2022,12,10,7,3,45,622,5483,3536,209,2806,12931,0.101883701883702
2022-12-10 03:50:02,2022,12,10,7,3,50,726,7738,943,443,2806,12931,0.0857750472589792
2022-12-10 03:55:02,2022,12,10,7,3,55,725,7741,939,445,2806,12931,0.0856366643042759
2022-12-10 04:00:02,2022,12,10,7,4,0,726,7738,942,444,2806,12931,0.0857750472589792
2022-12-10 04:05:02,2022,12,10,7,4,5,722,7743,943,442,2806,12931,0.0852923803898405
2022-12-10 04:10:02,2022,12,10,7,4,10,720,7754,934,442,2806,12931,0.0849657776728818
2022-12-10 04:15:02,2022,12,10,7,4,15,721,7746,941,442,2806,12931,0.0851541277902445
2022-12-10 04:20:02,2022,12,10,7,4,20,722,7744,943,441,2806,12931,0.0852823056933617
2022-12-10 04:25:02,2022,12,10,7,4,25,719,7755,935,441,2806,12931,0.0848477696483361
2022-12-10 04:30:02,2022,12,10,7,4,30,719,7744,946,441,2806,12931,0.0849580526999882
2022-12-10 04:35:02,2022,12,10,7,4,35,720,7745,945,440,2806,12931,0.0850561134081512
2022-12-10 04:40:02,2022,12,10,7,4,40,720,7738,951,441,2806,12931,0.0851265074485694
2022-12-10 04:45:02,2022,12,10,7,4,45,716,7742,950,442,2806,12931,0.0846535824071885
2022-12-10 04:50:02,2022,12,10,7,4,50,717,7743,948,442,2806,12931,0.0847517730496454
2022-12-10 04:55:02,2022,12,10,7,4,55,716,7749,943,442,2806,12931,0.0845835794447726
2022-12-10 05:00:02,2022,12,10,7,5,0,716,7746,947,441,2806,12931,0.0846135665327346
2022-12-10 05:05:03,2022,12,10,7,5,5,618,5492,3532,208,2806,12931,0.101145662847791
2022-12-10 05:10:02,2022,12,10,7,5,10,713,7750,947,440,2806,12931,0.0842490842490843
2022-12-10 05:15:02,2022,12,10,7,5,15,713,7761,936,440,2806,12931,0.0841397215010621
2022-12-10 05:20:02,2022,12,10,7,5,20,713,7752,945,440,2806,12931,0.0842291789722386
2022-12-10 05:25:02,2022,12,10,7,5,25,714,7751,945,440,2806,12931,0.0843473124630833
2022-12-10 05:30:02,2022,12,10,7,5,30,713,7758,937,442,2806,12931,0.0841695195372447
2022-12-10 05:35:02,2022,12,10,7,5,35,710,7759,939,442,2806,12931,0.0838351635376077
2022-12-10 05:40:02,2022,12,10,7,5,40,709,7756,944,441,2806,12931,0.08375664500886
2022-12-10 05:45:02,2022,12,10,7,5,45,710,7756,943,441,2806,12931,0.0838648712497047
2022-12-10 05:50:01,2022,12,10,7,5,50,709,7749,951,441,2806,12931,0.0838259635847718
2022-12-10 05:55:02,2022,12,10,7,5,55,711,7751,947,441,2806,12931,0.0840226896714725
2022-12-10 06:00:02,2022,12,10,7,6,0,710,7756,942,442,2806,12931,0.0838648712497047
2022-12-10 06:05:02,2022,12,10,7,6,5,713,7749,950,438,2806,12931,0.0842590404159773
2022-12-10 06:10:02,2022,12,10,7,6,10,714,7750,948,438,2806,12931,0.0843572778827977
2022-12-10 06:15:02,2022,12,10,7,6,15,715,7753,943,439,2806,12931,0.0844355219650449
2022-12-10 06:20:02,2022,12,10,7,6,20,714,7752,951,433,2806,12931,0.0843373493975904
2022-12-10 06:25:02,2022,12,10,7,6,25,716,7741,952,441,2806,12931,0.0846635922904103
2022-12-10 06:30:02,2022,12,10,7,6,30,717,7751,942,440,2806,12931,0.0846717052432688
2022-12-10 06:35:02,2022,12,10,7,6,35,713,7747,951,439,2806,12931,0.0842789598108747
2022-12-10 06:40:02,2022,12,10,7,6,40,712,7750,949,439,2806,12931,0.0841408650437249
2022-12-10 06:45:02,2022,12,10,7,6,45,713,7749,949,439,2806,12931,0.0842590404159773
2022-12-10 06:50:02,2022,12,10,7,6,50,713,7749,948,440,2806,12931,0.0842590404159773
2022-12-10 06:55:02,2022,12,10,7,6,55,715,7748,946,441,2806,12931,0.0844854070660522
2022-12-10 07:00:02,2022,12,10,7,7,0,714,7746,948,442,2806,12931,0.0843971631205674
2022-12-10 07:05:02,2022,12,10,7,7,5,714,7753,941,442,2806,12931,0.0843273886854848
2022-12-10 07:10:02,2022,12,10,7,7,10,717,7740,950,443,2806,12931,0.0847818375310394
2022-12-10 07:15:02,2022,12,10,7,7,15,718,7750,944,438,2806,12931,0.0847897968823807
2022-12-10 07:20:02,2022,12,10,7,7,20,719,7752,941,438,2806,12931,0.0848778184393814
2022-12-10 07:25:02,2022,12,10,7,7,25,722,7737,953,438,2806,12931,0.08535287859085
2022-12-10 07:30:02,2022,12,10,7,7,30,730,7738,945,437,2806,12931,0.0862068965517241
2022-12-10 07:35:02,2022,12,10,7,7,35,735,7719,956,440,2806,12931,0.0869410929737402
2022-12-10 07:40:02,2022,12,10,7,7,40,739,7711,959,441,2806,12931,0.0874556213017751
2022-12-10 07:45:02,2022,12,10,7,7,45,739,7717,954,440,2806,12931,0.0873935666982025
2022-12-10 07:50:02,2022,12,10,7,7,50,742,7709,957,442,2806,12931,0.087800260324222
2022-12-10 07:55:02,2022,12,10,7,7,55,740,7712,955,443,2806,12931,0.0875532418362518
2022-12-10 08:00:02,2022,12,10,7,8,0,744,7710,958,438,2806,12931,0.0880056777856636
2022-12-10 08:05:02,2022,12,10,7,8,5,751,7718,942,439,2806,12931,0.0886763490376668
2022-12-10 08:10:02,2022,12,10,7,8,10,755,7710,946,439,2806,12931,0.0891907855877141
2022-12-10 08:15:02,2022,12,10,7,8,15,770,7703,940,437,2806,12931,0.0908769031039773
2022-12-10 08:20:02,2022,12,10,7,8,20,780,7694,939,437,2806,12931,0.0920462591456219
2022-12-10 08:25:02,2022,12,10,7,8,25,783,7685,947,435,2806,12931,0.0924657534246575
2022-12-10 08:30:02,2022,12,10,7,8,30,787,7690,937,436,2806,12931,0.0928394479178955
2022-12-10 08:35:03,2022,12,10,7,8,35,794,7681,939,436,2806,12931,0.0936873156342183
2022-12-10 08:40:02,2022,12,10,7,8,40,805,7668,941,436,2806,12931,0.0950076714268854
2022-12-10 08:45:02,2022,12,10,7,8,45,811,7665,939,435,2806,12931,0.0956819254365267
2022-12-10 08:50:01,2022,12,10,7,8,50,815,7663,936,436,2806,12931,0.0961311630101439
