"timestamp","year","month","day","weekday","hour","minute","occupied","available","unknown","service","NA_","total","utilization"
2022-12-05 20:05:02,2022,12,5,2,20,5,914,7503,888,491,2806,12931,0.108589758821433
2022-12-05 20:10:02,2022,12,5,2,20,10,907,7506,891,492,2806,12931,0.107809342683942
2022-12-05 20:15:02,2022,12,5,2,20,15,905,7512,888,491,2806,12931,0.107520494237852
2022-12-05 20:20:02,2022,12,5,2,20,20,901,7517,887,491,2806,12931,0.107032549299121
2022-12-05 20:25:02,2022,12,5,2,20,25,902,7517,886,491,2806,12931,0.107138615037415
2022-12-05 20:30:02,2022,12,5,2,20,30,906,7515,886,489,2806,12931,0.107588172426078
2022-12-05 20:35:02,2022,12,5,2,20,35,894,7531,880,491,2806,12931,0.106112759643917
2022-12-05 20:40:02,2022,12,5,2,20,40,891,7531,882,492,2806,12931,0.105794348135835
2022-12-05 20:45:02,2022,12,5,2,20,45,892,7531,881,492,2806,12931,0.105900510506945
2022-12-05 20:50:02,2022,12,5,2,20,50,885,7532,887,492,2806,12931,0.105144350718783
2022-12-05 20:55:03,2022,12,5,2,20,55,878,7552,873,493,2806,12931,0.104151838671412
2022-12-05 21:00:02,2022,12,5,2,21,0,871,7555,877,493,2806,12931,0.103370519819606
2022-12-05 21:05:02,2022,12,5,2,21,5,856,7578,874,488,2806,12931,0.10149395304719
2022-12-05 21:10:02,2022,12,5,2,21,10,846,7594,869,487,2806,12931,0.100236966824645
2022-12-05 21:15:02,2022,12,5,2,21,15,839,7595,876,486,2806,12931,0.0994783021105051
2022-12-05 21:20:02,2022,12,5,2,21,20,832,7604,873,487,2806,12931,0.0986249407302039
2022-12-05 21:25:02,2022,12,5,2,21,25,829,7605,874,488,2806,12931,0.0982926250889258
2022-12-05 21:30:02,2022,12,5,2,21,30,827,7608,874,487,2806,12931,0.0980438648488441
2022-12-05 21:35:02,2022,12,5,2,21,35,795,7631,878,492,2806,12931,0.0943508188938998
2022-12-05 21:40:02,2022,12,5,2,21,40,780,7643,879,494,2806,12931,0.0926035854208714
2022-12-05 21:45:03,2022,12,5,2,21,45,779,7642,882,493,2806,12931,0.0925068281676761
